t,S0,S1,S2,S3,S4,I0,I1,I2,I3,I4,R0,R1,R2,R3,R4
0,322945,322945,322945,322945,322945,737,737,737,737,737,176318,176318,176318,176318,176318
0.143037,322973,322969,322974,322957,322968,740,751,737,738,731,176291,176275,176284,176310,176296
0.286135,322990,323005,323009,322978,323002,752,749,740,737,726,176261,176255,176259,176295,176259
0.429124,323026,323022,323029,323008,323004,731,759,747,735,737,176240,176218,176240,176265,176240
0.572096,323027,323015,323038,323024,323029,749,765,751,738,735,176213,176214,176224,176247,176209
0.715024,323040,323009,323066,323045,323046,756,777,753,730,736,176192,176199,176188,176231,176183
0.858089,323044,323035,323088,323051,323069,766,786,760,738,753,176171,176163,176167,176210,176143
1.00104,323067,323065,323101,323071,323090,751,786,752,738,752,176164,176137,176160,176187,176115
1.14401,323089,323085,323120,323087,323124,753,790,759,735,758,176142,176104,176139,176179,176087
1.287,323126,323108,323153,323102,323165,738,786,770,752,749,176132,176092,176101,176149,176058
1.43042,323129,323136,323181,323105,323201,750,791,777,760,740,176102,176061,176072,176141,176037
1.57329,323158,323147,323181,323111,323228,757,798,779,773,735,176066,176043,176071,176121,176010
1.71623,323180,323179,323180,323131,323254,749,805,775,774,741,176055,176009,176063,176109,175984
1.85946,323203,323201,323180,323143,323264,770,796,786,765,757,176005,175998,176059,176103,175953
2.00257,323205,323208,323186,323161,323270,786,792,805,773,766,175983,175990,176025,176074,175942
2.14568,323234,323240,323214,323173,323259,786,787,795,769,782,175954,175970,176007,176062,175931
2.28873,323249,323268,323218,323192,323260,775,783,794,780,807,175937,175952,176002,176034,175904
2.43161,323289,323276,323233,323188,323295,771,788,816,795,796,175910,175939,175972,176019,175892
2.57471,323291,323299,323263,323209,323314,759,804,813,792,802,175913,175905,175951,176005,175869
2.71784,323303,323319,323265,323241,323324,766,814,823,794,811,175901,175874,175932,175980,175841
2.86071,323321,323332,323297,323254,323328,776,823,812,792,799,175875,175860,175907,175974,175843
3.00396,323336,323360,323311,323265,323346,773,820,816,797,796,175857,175846,175894,175958,175830
3.14684,323344,323374,323331,323273,323372,789,831,815,804,800,175835,175825,175876,175945,175808
3.2898,323360,323393,323339,323279,323373,796,839,814,815,818,175806,175799,175864,175929,175792
3.43285,323396,323403,323359,323303,323377,808,829,809,817,822,175768,175794,175848,175902,175779
3.5758,323409,323415,323359,323317,323375,820,842,818,829,843,175743,175773,175829,175886,175770
3.71885,323406,323436,323393,323306,323380,805,835,818,856,859,175759,175755,175809,175866,175748
3.86179,323415,323444,323402,323324,323389,813,848,835,864,873,175744,175734,175773,175840,175738
4.00489,323414,323452,323404,323327,323396,826,872,861,865,887,175736,175705,175747,175828,175722
4.14776,323421,323448,323403,323320,323433,843,866,868,885,889,175713,175715,175736,175811,175695
4.29064,323423,323480,323400,323337,323440,863,858,884,901,901,175687,175694,175726,175781,175675
4.43367,323433,323472,323409,323358,323441,867,895,887,899,910,175672,175663,175715,175758,175672
4.57659,323419,323472,323413,323365,323448,887,897,895,900,898,175660,175656,175695,175747,175680
4.71958,323430,323467,323412,323373,323447,899,908,909,895,906,175642,175644,175690,175742,175683
4.86259,323407,323474,323435,323379,323438,902,933,932,911,916,175653,175617,175650,175725,175675
5.0057,323383,323460,323423,323388,323453,910,948,930,919,920,175666,175615,175657,175710,175659
5.14893,323390,323473,323442,323385,323442,929,945,926,942,936,175644,175610,175642,175694,175657
5.29183,323376,323475,323448,323396,323454,937,952,944,951,924,175648,175609,175605,175686,175655
5.43479,323387,323492,323455,323389,323464,930,948,951,947,933,175645,175603,175582,175697,175634
5.57781,323404,323485,323456,323383,323450,920,963,954,964,957,175648,175603,175580,175681,175627
5.72099,323403,323488,323458,323402,323454,927,980,963,967,954,175649,175585,175569,175667,175633
5.86397,323425,323472,323465,323416,323463,934,992,970,974,963,175622,175585,175556,175653,175621
6.00688,323409,323467,323462,323423,323463,941,1013,975,991,976,175634,175571,175557,175632,175605
6.14974,323413,323467,323456,323402,323465,952,1018,989,1017,996,175625,175563,175552,175618,175585
6.29283,323432,323455,323456,323402,323477,941,1050,1002,1034,1000,175614,175545,175532,175602,175572
6.43578,323439,323472,323464,323397,323502,959,1037,1005,1051,998,175584,175540,175523,175599,175552
6.57909,323451,323496,323464,323405,323489,953,1012,1025,1057,999,175580,175534,175506,175584,175564
6.72198,323443,323486,323465,323412,323484,952,1021,1036,1067,1005,175583,175529,175498,175571,175566
