t,S0,S1,S2,S3,S4,I0,I1,I2,I3,I4,R0,R1,R2,R3,R4
0,322945,322945,322945,322945,322945,737,737,737,737,737,176318,176318,176318,176318,176318
0.142864,322970,322969,322974,322956,322967,742,751,738,738,731,176290,176275,176283,176310,176297
0.285778,322987,323005,323009,322978,323002,754,749,741,736,725,176260,176255,176258,176294,176259
0.428648,323023,323025,323029,323009,323003,733,758,748,735,736,176239,176217,176239,176264,176240
0.571649,323024,323017,323038,323023,323027,752,764,754,739,736,176212,176213,176221,176247,176208
0.714514,323036,323011,323064,323045,323043,761,775,756,733,738,176190,176199,176186,176230,176182
0.857473,323038,323039,323086,323050,323067,773,785,765,742,754,176169,176162,176162,176209,176142
1.00038,323060,323069,323099,323069,323088,756,785,757,743,754,176165,176136,176155,176186,176113
1.14328,323082,323088,323122,323077,323121,756,789,764,743,761,176146,176104,176131,176177,176085
1.28615,323112,323111,323152,323092,323162,745,786,776,757,749,176136,176090,176094,176150,176059
1.42935,323120,323136,323175,323095,323197,753,792,788,768,742,176107,176062,176065,176140,176037
1.57239,323145,323151,323181,323104,323225,760,797,786,779,738,176075,176044,176064,176119,176008
1.71535,323167,323180,323181,323121,323250,751,805,783,779,744,176065,176012,176058,176108,175982
1.85835,323191,323201,323177,323136,323260,772,799,793,768,763,176015,175999,176058,176103,175952
2.00174,323189,323212,323185,323151,323268,791,792,808,776,771,175992,175992,176027,176076,175938
2.14482,323219,323242,323210,323163,323255,790,788,799,771,786,175964,175970,176009,176063,175930
2.2878,323238,323269,323212,323179,323256,780,787,797,786,810,175943,175947,176006,176036,175903
2.43076,323279,323272,323231,323181,323291,774,796,821,795,801,175917,175936,175972,176022,175889
2.57364,323273,323301,323263,323200,323308,767,808,816,795,807,175918,175901,175950,176006,175866
2.71665,323287,323320,323262,323233,323316,768,816,825,798,815,175908,175873,175935,175978,175840
2.86003,323304,323335,323291,323241,323316,779,822,816,795,806,175883,175862,175910,175976,175839
3.00298,323319,323355,323305,323259,323339,776,825,820,799,802,175867,175841,175894,175956,175827
3.14589,323329,323372,323321,323267,323362,791,837,824,807,809,175843,175819,175877,175941,175804
3.28885,323348,323390,323324,323275,323357,800,844,821,819,828,175814,175798,175872,175923,175791
3.43178,323377,323393,323342,323296,323366,816,837,817,824,829,175775,175795,175858,175897,175775
3.57485,323391,323408,323353,323307,323362,824,849,817,831,852,175754,175772,175837,175887,175769
3.71778,323391,323427,323386,323298,323373,809,843,822,860,865,175766,175757,175811,175865,175746
3.86087,323400,323439,323394,323316,323369,814,856,842,868,886,175754,175729,175779,175837,175737
4.00392,323393,323443,323397,323314,323375,835,876,870,873,894,175743,175706,175749,175829,175725
4.14716,323410,323449,323392,323308,323413,851,869,879,892,902,175713,175710,175742,175811,175688
4.29013,323410,323469,323387,323331,323414,864,868,899,903,912,175695,175696,175726,175779,175676
4.43307,323419,323464,323379,323344,323413,873,893,904,905,920,175677,175674,175724,175759,175676
4.57601,323400,323454,323388,323351,323426,895,907,910,907,911,175667,175662,175704,175747,175672
4.71907,323408,323453,323379,323365,323413,897,918,928,904,921,175658,175646,175697,175735,175682
4.86199,323388,323451,323400,323366,323405,910,938,950,914,930,175662,175629,175661,175730,175670
5.00501,323358,323447,323387,323371,323417,919,948,953,927,930,175679,175627,175664,175714,175664
5.14795,323369,323462,323412,323374,323409,930,955,946,944,942,175658,175610,175644,175704,175661
5.29081,323353,323456,323404,323383,323425,937,964,967,952,927,175667,175615,175620,175695,175661
5.43378,323371,323481,323410,323365,323434,937,960,972,956,948,175654,175603,175601,175706,175626
5.57691,323381,323477,323415,323366,323416,935,969,972,967,964,175654,175607,175596,175684,175632
5.71999,323380,323468,323416,323385,323416,936,992,978,965,965,175661,175595,175585,175670,175636
5.86289,323396,323453,323416,323397,323431,940,1011,996,976,977,175645,175586,175570,175654,175618
6.00579,323390,323451,323420,323401,323421,947,1021,1001,1002,990,175644,175576,175565,175626,175609
6.14871,323388,323449,323397,323387,323426,960,1037,1023,1017,1003,175637,175563,175557,175617,175595
6.29156,323410,323450,323406,323378,323442,950,1057,1030,1039,1008,175620,175545,175544,175604,175580
6.43456,323410,323452,323410,323393,323458,962,1048,1031,1043,1007,175603,175543,175538,175595,175567
6.57752,323420,323473,323415,323391,323450,965,1020,1058,1060,1005,175591,175545,175514,175581,175577
6.72044,323419,323462,323397,323386,323439,966,1036,1065,1077,1025,175589,175534,175518,175570,175571
6.86341,323436,323457,323366,323381,323406,966,1039,1079,1091,1053,175574,175540,175532,175558,175577
7.0063,323443,323434,323350,323390,323391,983,1050,1091,1092,1078,175548,175549,175533,175555,175565
7.14919,323438,323430,323344,323378,323364,980,1059,1107,1105,1099,175557,175543,175529,175557,175575
7.29209,323416,323409,323313,323355,323347,1015,1071,1138,1104,1114,175542,175554,175530,175579,175580
7.43497,323421,323407,323307,323338,323339,1018,1070,1118,1114,1120,175526,175565,175550,175591,175579
7.57786,323420,323399,323294,323335,323315,1031,1065,1126,1118,1130,175515,175566,175564,175591,175589
7.72072,323405,323375,323286,323299,323286,1048,1095,1139,1146,1138,175516,175558,175548,175586,175606
7.86366,323379,323350,323279,323282,323252,1072,1123,1146,1168,1166,175512,175553,175546,175593,175605
8.00655,323376,323339,323254,323283,323229,1088,1127,1168,1146,1178,175496,175566,175542,175624,175614
8.14944,323358,323331,323247,323279,323217,1087,1136,1184,1154,1187,175511,175568,175539,175617,175622
8.29235,323371,323320,323213,323258,323196,1088,1159,1191,1181,1201,175500,175558,175563,175603,175630
8.43529,323351,323295,323184,323251,323160,1116,1194,1213,1185,1232,175493,175561,175566,175620,175645
8.57842,323361,323275,323165,323245,323149,1119,1211,1227,1201,1233,175487,175566,175572,175614,175658
8.7213,323353,323265,323127,323220,323126,1152,1217,1247,1210,1237,175468,175570,175598,175623,175684
8.86416,323341,323238,323088,323212,323104,1159,1239,1255,1228,1248,175473,175568,175614,175620,175691
9.00707,323333,323230,323061,323179,323062,1167,1243,1272,1243,1258,175481,175570,175616,175633,175715
9.15012,323321,323182,323055,323141,323042,1178,1292,1270,1267,1280,175489,175568,175622,175646,175715
9.29303,323300,323159,323026,323121,323020,1206,1304,1277,1268,1300,175481,175572,175651,175656,175726
9.4359,323270,323137,322995,323089,323013,1215,1332,1318,1289,1312,175499,175571,175649,175671,175724
9.57891,323255,323118,322971,323048,322966,1231,1349,1316,1306,1345,175491,175584,175665,175691,175743
9.72203,323245,323099,322932,323010,322921,1231,1362,1338,1310,1370,175502,175593,175683,175723,175767
9.86507,323185,323079,322915,322968,322892,1298,1379,1345,1335,1381,175491,175591,175693,175747,175783
10.0079,323134,323035,322894,322951,322867,1325,1400,1370,1332,1430,175512,175609,175691,175763,175766
10.1509,323096,322992,322878,322907,322832,1354,1426,1387,1341,1448,175520,175638,175704,175798,175785
10.2938,323055,322934,322823,322869,322787,1374,1461,1420,1342,1472,175539,175670,175723,175831,175808
10.4367,323030,322882,322798,322844,322755,1382,1495,1416,1341,1481,175543,175689,175748,175860,175834
10.5797,322992,322836,322759,322829,322737,1400,1509,1435,1368,1489,175557,175716,175770,175857,175853
10.7225,322971,322794,322727,322787,322680,1416,1520,1449,1387,1522,175573,175741,175795,175876,175871
10.8654,322936,322780,322677,322773,322636,1428,1498,1475,1387,1550,175590,175773,175816,175890,175885
11.0083,322904,322734,322613,322756,322569,1463,1508,1512,1384,1584,175592,175807,175843,175909,175911
11.1512,322860,322691,322556,322720,322522,1481,1532,1537,1400,1614,175618,175831,175872,175924,175930
11.2942,322843,322650,322501,322658,322482,1489,1554,1575,1428,1626,175634,175853,175894,175953,175956
11.4371,322834,322605,322466,322618,322451,1478,1578,1592,1466,1650,175649,175874,175911,175957,175967
11.5803,322789,322573,322423,322605,322387,1476,1580,1613,1456,1677,175702,175908,175937,175981,175998
11.7233,322734,322533,322333,322578,322307,1502,1602,1649,1466,1708,175732,175924,175989,176008,176049
11.8662,322692,322483,322291,322538,322250,1516,1618,1671,1494,1716,175763,175949,176008,176025,176106
12.0093,322651,322433,322220,322505,322220,1549,1644,1692,1518,1726,175778,175975,176049,176043,176131
12.1521,322595,322372,322190,322482,322171,1589,1684,1705,1537,1726,175785,175997,176076,176045,176185
12.295,322552,322301,322133,322451,322103,1624,1725,1741,1559,1771,175804,176029,176102,176063,176208
12.4382,322481,322264,322085,322406,322038,1638,1747,1777,1578,1793,175852,176048,176123,176095,176248
12.5811,322414,322205,322006,322363,321976,1678,1769,1799,1622,1805,175879,176096,176181,176098,176304
12.724,322334,322155,321944,322313,321914,1733,1805,1822,1654,1848,175902,176114,176212,176117,176320
12.8669,322274,322093,321875,322260,321841,1778,1814,1846,1695,1889,175922,176168,176251,176134,176356
13.0099,322196,322028,321810,322200,321742,1796,1861,1874,1730,1938,175978,176184,176274,176163,176400
